  SP74632","Las desagregaciones del INPC solo tienen valor informativo.
  SP74633","Las desagregaciones del INPC solo tienen valor informativo.
  SP66536","Las desagregaciones del INPC solo tienen valor informativo.
  SP74634","Las desagregaciones del INPC solo tienen valor informativo.
  SP74635","Las desagregaciones del INPC solo tienen valor informativo.
  SP66538","Las desagregaciones del INPC solo tienen valor informativo.
  SP56384","Las desagregaciones del INPC solo tienen valor informativo.
  SP74636","Las desagregaciones del INPC solo tienen valor informativo.
  SP74637","Las desagregaciones del INPC solo tienen valor informativo.
  SP56378","Las desagregaciones del INPC solo tienen valor informativo.
  SP56379","Las desagregaciones del INPC solo tienen valor informativo.
  SP56380","Las desagregaciones del INPC solo tienen valor informativo.
  SP74638","Las desagregaciones del INPC solo tienen valor informativo.
  SP56382","Las desagregaciones del INPC solo tienen valor informativo.
  SP74639"
"1Q Feb 2002","50.867032213417","55.524174287597","53.086442045839","42.373257350528","63.068078149989","57.573143261195","62.079820995702","41.851143755628","59.057073437218","38.318266412572","38.034771492771","36.906848140965","38.719252683250","38.518458192908","34.391948914873","46.822961574791"
"2Q Feb 2002","50.868467225716","55.666458415148","53.190920680344","42.523516281370","63.111546712479","57.759226293537","62.314950166667","41.907133763896","59.243362431614","38.037431472339","36.816323782392","33.755061017795","38.732711043029","38.984494324762","35.088572958578","46.919286549771"
"1Q Mar 2002","51.015717101401","55.778819660462","53.272792086027","42.683444930397","63.094726828911","57.906950989987","62.450136049987","41.938385340228","59.439037207509","38.245013954290","36.910616191506","34.060430677825","38.692541183174","39.282158710892","35.482005135234","47.067153536613"
"2Q Mar 2002","51.240323464960","55.864496449602","53.286028980190","42.703606114595","63.098878054977","58.079678738436","62.610642796430","41.946888290143","59.674484742008","38.733815932347","37.997456582977","37.190804369918","38.477438550925","39.294376545185","35.483126826027","47.098410493719"
"1Q Abr 2002","51.471352674177","55.996266742112","53.394621471489","42.811063491306","63.202823697046","58.237556338423","62.784406193412","41.950207736068","59.868116206076","39.148902533664","38.581638309342","38.623135574357","38.521143385550","39.574524375911","35.818802654228","47.295578157070"
"2Q Abr 2002","51.343225762019","56.045156994711","53.387655044847","42.850800547040","63.139907717303","58.353856744199","62.946735304227","41.950207736068","59.982387045344","38.674455136890","37.465119515448","36.038218022257","38.340443534497","39.611717946785","35.817518941432","47.398605905386"
"1Q May 2002","51.483586542563","56.097507112689","53.411763820670","42.912569383589","63.117253876587","58.439827537948","63.100570211991","41.950207736068","60.038142608539","38.982242515977","38.322045314050","38.582148879006","38.122607432693","39.481984323238","35.515282061540","47.553341143176"
"2Q May 2002","51.539271754455","56.151128515806","53.436605884233","42.926092091523","63.154373512195","58.527705507433","63.242812102035","41.973199162450","60.100714319962","39.038874793141","38.443483016912","38.863804951116","38.141937392304","39.486969916677","35.511534588691","47.573144386787"
"1Q Jun 2002","51.719817541848","56.187094171467","53.420873814148","42.891278248683","63.162530156568","58.626217405179","63.402584208805","42.022289746149","60.163332531173","39.497343165702","39.179109534281","40.753321674797","38.142308267503","39.724412768696","35.842329160104","47.662669793519"
"2Q Jun 2002","51.805498137162","56.203488171465","53.362934175251","42.884120948978","63.046544830350","58.733134332234","63.556441183676","42.026671399435","60.263095498406","39.716483206064","39.672897474100","42.143382401051","38.065062212050","39.724686095551","35.834520794028","47.676499182341"
"1Q Jul 2002","51.872845284740","56.246023702689","53.344866686706","42.870503751045","63.024330674184","58.834657033681","63.697715512165","42.036106739910","60.364050177477","39.847959547871","40.133756594304","43.283354433507","38.106660689657","39.651557376713","35.704795593018","47.714657153874"
"2Q Jul 2002","51.950035476965","56.295633054038","53.348271500312","42.870271960852","63.031208259204","58.929164449616","63.798811746351","42.092007359833","60.466741314678","39.997810341737","40.485457259761","43.869328972664","38.313309659941","39.675990729920","35.716102254333","47.765181578226"
"1Q Ago 2002","52.078513112344","56.421078230303","53.448125415985","42.932830094849","63.166195983683","59.079052270530","63.923538517050","42.425077648482","60.564531582730","40.133652684294","40.564196090364","43.651004865279","38.574835060199","39.847229130994","35.962063136126","47.789996696540"
